math_score,reading_score,writing_score,clubing,placement_score,placement_offer,gender
74,84,77,2020,89,3,1
79,86,69,2023,98,3,0
66,91,71,2022,82,2,0
64,77,69,2021,84,2,1
80,88,66,2021,85,3,0
69,85,63,2024,87,3,0
61,95,65,2023,97,3,1
68,89,67,2021,87,3,0
60,93,80,2020,97,3,1
66,79,74,2024,96,3,0
72,90,70,2023,83,2,0
64,88,65,,90,3,0
72,80,60,,82,2,0
79,94,65,,91,3,0
74,87,76,,99,3,0
63,77,73,,93,3,0
69,91,76,,84,2,1
73,90,80,,84,2,0
67,78,64,,87,3,0
69,94,61,,96,3,0
77,88,75,,90,3,1
67,90,63,2023,100,3,1
74,75,65,2020,81,2,0
64,84,69,2021,80,2,1
71,85,80,2022,77,2,0
80,81,63,2024,76,2,0
80,93,68,2024,83,2,0
72,84,80,2021,93,3,0
,87,64,2021,78,2,1
,77,77,2024,86,3,1
,80,65,2024,,3,1
,88,70,2024,,3,1
,88,64,2024,,3,1
61,82,62,2021,,2,0
60,85,69,2020,,2,1
62,78,60,2020,83,2,1
64,82,63,2024,79,2,1
69,77,77,2020,100,3,1
71,83,64,2023,100,3,1
80,87,62,2021,78,2,0
62,94,70,2023,91,3,1
63,86,68,2024,76,2,1
68,77,65,2023,85,3,1
73,89,71,2020,76,2,1
64,77,76,2020,91,3,1
76,81,68,2022,92,3,0
69,81,73,2021,97,3,1
72,93,66,2021,97,3,1
63,91,75,2023,84,2,1
80,84,80,2021,87,3,1
63,76,67,2021,76,2,1
64,95,73,2024,78,2,0
67,89,77,2020,94,3,1
79,94,65,2024,75,2,0
65,90,66,2022,99,3,0
79,89,67,2021,96,3,0
79,91,64,2023,83,2,0
66,92,78,2021,81,2,1
73,83,79,2020,80,2,1
70,84,61,2024,78,2,1
71,82,79,2021,93,3,0
79,94,66,2020,88,3,0
67,94,62,2020,75,2,0
62,75,77,2022,84,2,0
69,84,79,2020,90,3,1
67,86,72,2020,90,3,0
76,83,70,2021,100,3,0
61,95,65,2021,81,2,1
68,89,78,2023,92,3,1
65,75,62,2020,83,2,0
63,77,72,2022,99,3,1
64,77,69,2024,82,2,1
70,85,65,2020,90,3,1
75,93,62,2023,86,3,1
73,92,71,2021,81,2,0
60,88,75,2024,78,2,1
68,75,73,2023,87,3,0
71,89,62,2020,82,2,1
80,89,73,2021,81,2,1
66,86,75,2022,100,3,0
76,75,61,2021,97,3,0
77,87,79,2024,92,3,0
67,78,69,2021,78,2,0
72,80,64,2022,89,3,1
70,79,68,2023,96,3,1
64,75,72,2020,88,3,0
77,90,73,2024,87,3,1
72,84,77,2024,90,3,0
75,93,76,2020,93,3,0
62,84,79,2021,79,2,0
67,81,71,2022,89,3,0
63,84,70,2022,90,3,1
79,83,74,2020,88,3,0
76,78,60,2024,75,2,1
72,86,73,2020,90,3,1
79,77,70,2022,80,2,1
78,86,62,2024,89,3,0
76,80,69,2020,96,3,0
73,84,75,2022,89,3,1
61,81,70,2021,81,2,0
